subject,level,question,option1,option2,option3,option4,correct,explanation
DBMS,Beginner,Command to fetch data is,INSERT,UPDATE,SELECT,DELETE,3,Read operation
DBMS,Beginner,A table row is also called,field,record,schema,index,2,Row equals record
DBMS,Intermediate,Which normal form removes partial dependency,1NF,2NF,3NF,BCNF,2,2NF condition
DBMS,Intermediate,Which normal form removes transitive dependency,1NF,2NF,3NF,4NF,3,3NF condition
DBMS,Intermediate,JOIN that returns matching rows from both tables is,LEFT JOIN,RIGHT JOIN,INNER JOIN,FULL JOIN,3,Common intersection
DBMS,Intermediate,COUNT function returns,number of columns,number of rows,value sum,average,2,Aggregation
DBMS,Intermediate,Index mainly improves,write speed,query read speed,storage size,network speed,2,Faster lookup
DBMS,Intermediate,Clause used to filter grouped rows is,WHERE,HAVING,ORDER BY,LIMIT,2,After GROUP BY
DBMS,Advanced,Isolation level that avoids dirty reads is,Read Uncommitted,Read Committed,Serializable,None,2,Committed data only
DBMS,Advanced,Deadlock means,two transactions wait forever,table deleted,index corruption,password mismatch,1,Circular wait
DBMS,Advanced,BCNF requires,all attributes prime,every determinant is superkey,only two columns,no foreign keys,2,BCNF rule
DBMS,Advanced,Command to remove table structure and data is,DROP TABLE,DELETE FROM,TRUNCATE LOG,REMOVE TABLE,1,Drop removes schema
DBMS,Advanced,TRUNCATE differs from DELETE because it,logs row by row,can be rolled back always,is generally faster and removes all rows,drops indexes only,3,Deallocates pages
DBMS,Advanced,Composite key is,key with one attribute,key made from multiple attributes,foreign key only,unique index only,2,Multiple columns

Java,Beginner,Java source file extension is,.class,.java,.jar,.jsp,2,Source extension
Java,Beginner,Bytecode runs on,JDK,JVM,JRE installer,Compiler only,2,JVM executes bytecode
Java,Beginner,Which keyword creates object,new,class,this,super,1,Object instantiation
Java,Beginner,Default value of boolean field is,true,false,null,0,2,Default for boolean
Java,Beginner,Parent class of all classes is,String,Object,System,Class,2,Root of hierarchy
Java,Beginner,Which is not primitive type,String,int,double,char,1,String is reference type
Java,Intermediate,String in Java is,mutable,immutable,synchronized only,numeric,2,Cannot be modified
Java,Intermediate,Method overloading means,same method name different parameters,same signature in subclass,private methods only,multiple return types only,1,Compile time polymorphism
Java,Intermediate,Method overriding occurs in,same class,subclass with same signature,interface only,constructor only,2,Runtime polymorphism
Java,Intermediate,Collection that stores unique elements is,List,Queue,Set,Map,3,No duplicates in Set
Java,Intermediate,ArrayList access by index is roughly,O(1),O(log n),O(n),O(n log n),1,Dynamic array behavior
Java,Intermediate,Exception that must be declared is,RuntimeException,NullPointerException,Checked exception,ArithmeticException,3,Compile time checking
Java,Advanced,Stream API introduced in Java,5,6,7,8,4,Java 8 feature
Java,Advanced,Keyword for inheritance is,implements,extends,import,instanceof,2,Class inheritance
Java,Advanced,Interface methods are by default,private,protected,public abstract,final,3,Until default/static methods
Java,Advanced,HashMap allows,duplicate keys,null key not allowed,one null key,sorted keys always,3,One null key allowed
Java,Advanced,ConcurrentHashMap is mainly for,UI design,thread safe map use,file IO only,reflection,2,Concurrency support
Java,Advanced,Garbage collector frees,memory of unreachable objects,cpu cache,network sockets always,stack frames manually,1,Automatic memory management

Physics,Beginner,SI unit of force is,Newton,Joule,Watt,Pascal,1,Force unit
Physics,Beginner,SI unit of power is,Watt,Joule,Newton,Volt,1,Power unit
Physics,Beginner,SI unit of frequency is,Hertz,Newton,Coulomb,Tesla,1,Cycles per second
Physics,Beginner,Speed is defined as,distance divided by time,time divided by distance,distance times time,displacement squared,1,Basic definition
Physics,Beginner,Acceleration unit is,m per s,m per s squared,m squared per s,squared meter,2,Rate of change of velocity
Physics,Beginner,Ohm law is,V equals I R,P equals V I,F equals m a,E equals m c squared,1,Electric relation
Physics,Intermediate,Kinetic energy formula is,half m v squared,m g h,m a,v over t,1,Translational KE
Physics,Intermediate,Potential energy near Earth is,m g h,half m v squared,I R,lambda nu,1,Gravitational PE
Physics,Intermediate,Momentum formula is,m v,m over v,v over m,m g,1,Linear momentum
Physics,Intermediate,Wave relation is,v equals f lambda,f equals v over lambda only,lambda equals v f,v equals f over lambda,1,Basic wave equation
Physics,Intermediate,Current is rate of flow of,voltage,charge,resistance,power,2,Definition of electric current
Physics,Intermediate,Unit of electric resistance is,Henry,Ohm,Farad,Weber,2,Resistance unit
Physics,Advanced,Newton second law is,F equals m a,F equals m over a,F equals a over m,F equals m g,1,Dynamics law
Physics,Advanced,Escape velocity from Earth is approximately,11.2 km per s,3 km per s,1.1 km per s,22 km per s,1,Standard value
Physics,Advanced,Snell law is,n1 sin theta1 equals n2 sin theta2,V equals I R,F equals m a,P equals W over t,1,Refraction law
Physics,Advanced,Work done formula is,F s cos theta,m g h,half m v squared,I squared R,1,Mechanical work
Physics,Advanced,Capacitance unit is,Ohm,Farad,Henry,Tesla,2,Capacitance unit
Physics,Advanced,Magnetic flux unit is,Weber,Tesla only,Newton,Coulomb,1,Flux unit
